evidence_type,dataset,N,main_result,claim_strength,limitation,what_would_upgrade_it_further
Discovery domain,inherited_arrhythmia,942,condition-label and cross-environment drift with gene/CAB decomposition,discovery_domain_supported,cardiovascular discovery domain,external expert adjudication and additional non-cardiovascular domains
External cardiovascular replication,cardiomyopathy,4918,baseline-only regimes stratify future drift; low portability enriches cross-environment drift,external_cardiovascular_replication_supported,still cardiovascular,expert adjudication and external cohort
Non-cardiovascular replication,hereditary_cancer,20865,classification-stable but meaning-unstable P/LP assertions; regime/gene models stratify drift,noncardiovascular_replication_supported,one non-cardiovascular disease area,second non-cardiovascular domain
Temporal validation,raw parsed ClinVar snapshots 2023-01 to 2026-04,26725,future drift endpoints computed from temporal rebuilds,temporal_snapshot_supported,snapshot alignment bias,additional temporal snapshots
Prediction/stratification,three-domain baseline-only regime models,26725,baseline regimes and gene+regime models stratify future drift,baseline_only_predictive_support,not a deployed prospective clinical model,pre-registered prospective freeze and external validation
Mechanistic interpretation,biological determinant mapping,see determinant table,recurring determinants constrain portability with domain-specific grammar,interpretive_biology_support,not experimental mechanism validation,expert adjudication / mechanistic study
Comparator,AlphaMissense/protein damage subset,214 high-confidence missense subset where available,protein-level deleteriousness is insufficient to explain portability,comparator_support_limited_to_missense_subset,subset only,full-domain protein/genomic comparator joins
Operational intervention,CAB Decision Challenge,see decision challenge tables,CAB reduces unsupported deterministic reuse vs label-only baseline by 0.2946679139382601,routing_actionability_support,internal routing gold standard; not external expert adjudication,blinded expert adjudication
External curation constraint,ClinGen/VCEP/CSpec where available,gene-level coverage where available,external resources constrain scope but do not provide variant-level validation unless joined,external_constraint_only,no variant-level expert validation joined,variant-level Evidence Repository / expert panel adjudication
Pending,expert adjudication,0,not yet available,pending,no expert validation claim,reviewer or domain-expert adjudication of decision tasks
