tier,claim_id,exact_wording,supporting_statistics,supporting_table,claim_strength,prohibited_stronger_wording
Tier 1,classification_stability_hides_meaning_drift_three_domains,"Stable P/LP classification can hide future assertion meaning drift across inherited arrhythmia, cardiomyopathy, and hereditary cancer predisposition.","classification_change rates: arrhythmia 0.0998, cardiomyopathy 0.0, hereditary cancer 0.0; condition_label_change rates all ~0.36-0.39",reports/tables/three_domain_portability_summary.csv,three_domain_evidence,all-disease universality; clinical reclassification; pathogenicity prediction
Tier 1,condition_label_drift_reproducibly_high,Condition-label drift is reproducibly high across all three tested disease domains.,arrhythmia=0.3875; cardiomyopathy=0.3865; hereditary_cancer=0.3643,reports/tables/three_domain_portability_summary.csv,three_domain_evidence,labels are wrong; clinical reinterpretation required
Tier 1,cross_environment_drift_occurs_three_domains,Cross-environment drift occurs across all three tested disease domains.,arrhythmia=0.155; cardiomyopathy=0.0986; hereditary_cancer=0.1619,reports/tables/three_domain_portability_summary.csv,three_domain_evidence,same mechanism across all diseases; all-disease universality
Tier 1,baseline_regimes_stratify_drift,"Baseline portability regimes stratify future meaning drift across domains, with domain-specific grammar.",see AUROC and OR columns in three-domain summary,reports/tables/three_domain_portability_summary.csv; reports/tables/domain_specific_portability_grammar_final.csv,three_domain_baseline_only_support,one universal regime grammar; no domain-specific differences
Tier 1,low_portability_enriches_cross_environment_drift,Low-portability states enrich future cross-environment drift across the tested domains.,arrhythmia OR~4.80; cardiomyopathy OR~10.61; hereditary cancer OR~6.56,reports/tables/three_domain_portability_summary.csv,three_domain_enrichment_support,causal proof; clinical mechanism validation
Tier 1,stable_architectures_self_loop_where_supported,Stable domain-specific architectures enrich self-loop stability where supported.,arrhythmia canonical self-loop OR~4.45; hereditary cancer syndrome-anchored self-loop OR~24.99; cardiomyopathy individual stable flag not supported after leakage cleanup,reports/tables/three_domain_portability_summary.csv,domain_specific_support_not_uniform,all domains have same stable architecture signal
Tier 2,gene_plus_regime_improves_gene_only,Gene plus baseline portability regime improves over gene-only models across tested domains.,see gene-only vs gene+regime AUROC columns,reports/tables/three_domain_portability_summary.csv,predictive_increment_support,regime always beats gene-only
Tier 2,arrhythmia_gene_decomposition,"In inherited arrhythmia, CAB decomposes gene-level instability into disease-model and phenotype-environment components.",mixed-effects and gene-vs-CAB outputs,reports/tables/mixed_effects_gene_variance_decomposition.csv; reports/tables/gene_vs_cab_model_comparison.csv,domain_specific_mechanistic_decomposition,CAB fully explains gene identity
Tier 2,alphamissense_not_sufficient,Protein-level predicted deleteriousness does not explain assertion portability in the high-confidence missense subset.,AlphaMissense-only AUROC 0.6291 vs CAB-only 0.8242 for condition drift in N=214 subset,reports/tables/cab_alphamissense_model_comparison.csv,comparator_support_limited_to_missense_subset,protein structure irrelevant; full-universe AlphaMissense comparison
Tier 2,counterfactual_routing_actionability,"Counterfactual routing supports operational actionability as routing, not clinical correctness.",task-level unsupported deterministic reuse reductions,reports/tables/cab_counterfactual_task_metrics.csv,routing_actionability_support,clinical actionability beyond routing; expert-adjudicated correctness
Tier 3,no_all_disease_universality,"Current evidence supports three-domain assertion portability, not all-disease universality.",three tested disease domains only,reports/tables/three_domain_portability_summary.csv,explicit_scope_limit,general all-disease theory
Tier 3,external_constraints_not_validation,ClinGen/VCEP/CSpec remains constraint/coverage only unless variant-level data are joined.,cardiomyopathy CMP VCEP/CSpec gene-level scope only; no variant-level Evidence Repository join,reports/tables/cardiomyopathy_clingen_overlay_status_clean.csv,external_constraint_only,ClinGen validated variants
Tier 3,expert_adjudication_pending,Expert adjudication and experimental mechanism validation remain pending.,no external expert adjudication table; no experimental mechanism validation table,reports/tables/final_three_domain_claim_hierarchy.csv,limitation,expert validated; mechanism validated
