reviewer_issue,upgrade_response,evidence_artifacts
circularity,modifier OR quarantined; negative controls and independent endpoints added,modifier_penetrance_quasi_separation_quarantine; cab_falsification_negative_controls
structural-functional overlap OR CI,"2x2 table and Haldane-Anscombe/Woolf 95% CI added; interpreted as routing concentration, not independent biological effect size",structural_functional_overlap_disease_specific_review_2x2; structural_functional_overlap_disease_specific_review_ci
endpoint validity,"triangulation across temporal, environment, semantic, identity-meaning, curation-action, and rolling-origin endpoints",cab_endpoint_triangulation_matrix
ClinVar drift artifact audit,"condition-label drift decomposed into real environment shift, submitter-change same-variant drift, and MeSH/OMIM or term-rename drift in the row-level inherited-arrhythmia temporal table",clinvar_label_drift_decomposition; clinvar_label_drift_decomposition_cases
endpoint validity / expert truth,true-blind expert endpoint adjudication run packet created to replace ClinVar drift as primary validation endpoint once real verdicts are returned,cab_expert_endpoint_run_packet_blinded; cab_expert_endpoint_verdict_template; cab_expert_endpoint_validation_protocol
silver-standard proxy adjudication,"ClinVar drift is adjudicated against locally available MONDO/OMIM/HPO identifiers, environment maps, ClinGen/VCEP coverage artifacts, and submitter-noise flags; claims are recomputed on true-environment-shift and true+uncertain endpoints",cab_proxy_adjudication_layer; cab_proxy_adjudicated_main_claim_models; cab_strict_endpoint_hierarchy_models
domain imbalance,"macro/micro metrics, downsampling, domain bootstrap, and leave-one-domain-out analyses",cab_domain_balanced_metrics; cab_domain_downsample_stability; cab_leave_one_domain_out_metrics
domain-specific operating frontier,"continuous frontier plotted separately for hereditary cancer and cardiomyopathy plus inherited arrhythmia to test whether frontier shape is an oncology sample-size artifact",cab_domain_split_operating_frontier; cab_domain_split_operating_frontier_shape_comparison
arrhythmia small-N,inherited-arrhythmia signal is treated as high-value but underpowered; SADS/CPVT receives a five-reviewer priority addendum rather than big-N equivalence claims,cab_arrhythmia_small_n_expert_endpoint_boundary; cab_sads_cpvt_expert_endpoint_priority_cases
gene-elephant overfitting,"leave-one-gene, leave-one-gene-family, leave-one-environment, and leave-one-domain validation tests whether CAB regime signal survives removal of BRCA/MMR/SCN5A/LMNA/desmosomal/sarcomere groups",cab_leave_gene_family_environment_domain_out_validation
semantic-distance-only critique,"post-hoc ontology comparator is separated from baseline-only ontology forecasting; CAB increment is reported over gene+baseline-ontology without follow-up label leakage",cab_ontology_only_baseline_comparator; cab_baseline_only_ontology_forecasting_comparator; cab_baseline_only_ontology_incremental_cab_deltas
AlphaMissense selection bias,"214 matched versus 728 unmatched AlphaMissense observability is quantified; ClinVar submitter-count proxy checked; missing row-level AM-score distribution is quarantined as a claim boundary",cab_alphamissense_selection_bias_audit; cab_alphamissense_selection_bias_functional_class_proxy
modest AUROC,curator utility and review-budget enrichment reported in addition to AUROC,cab_curator_review_budget_utility; cab_workload_capture_curves
calibration and decision utility,"Brier score, calibration slope/intercept, ECE, risk-decile plot, and decision-curve net benefit are added",cab_calibration_metrics; cab_risk_decile_calibration; cab_decision_curve_net_benefit
direct-use safety and overrestriction,"CAB direct-use drift depletion and overrestricted-stable repair rescue are quantified so CAB is not framed as merely blocking everything",cab_direct_use_safety_analysis; cab_overrestriction_and_repair_audit
external validation,external comparator support is quantified directionally and CAB-specific validation is routed to adjudication casebook,cab_clingen_vcep_comparator_mapping; cab_adjudication_protocol
partial external subset,"VCEP-covered and SADS-gene assertions are sampled into a partial external agreement proxy table",cab_external_curated_subset_agreement; cab_external_curated_subset_agreement_summary
SADS path,SADS retained as high-value adjudication pathway rather than caveat-only use case,cab_sads_adjudication_pathway_cases; sads_cab_portability_use_cases
SADS molecular autopsy special set,"SCN5A/KCNQ1/KCNH2/RYR2/LMNA/PKP2/DSP/CASQ2/TRDN/KCNE contexts are summarized for wrong reuse, review routing, and preserved direct use",cab_sads_molecular_autopsy_special_validation_set
