evidence_layer,dataset,N,result,claim_strength,limitation,what_upgrades_it_further
three-domain temporal drift replication,"inherited arrhythmia, cardiomyopathy, hereditary cancer",26725,condition-label drift and cross-environment drift observed across three domains,three_domain_temporal_replication,"three tested domains, not all-disease universality",additional non-cardiovascular domains and temporal snapshots
baseline-only portability prediction,baseline disease-model regimes / portability scores,26725,baseline-only regimes stratify future drift,baseline_predictive_support,not prospective deployment,pre-registered frozen external validation
domain-specific portability grammar,domain-specific environment ontologies and regime tables,26725,"distinct grammar across arrhythmia, cardiomyopathy, and hereditary cancer",mechanistic_interpretation_not_experimental_validation,not wet-lab mechanism validation,expert adjudication and mechanistic studies
AlphaMissense comparator,high-confidence arrhythmia missense subset,214,protein-level deleteriousness insufficient to explain assertion portability in tested subset,comparator_support_limited_to_subset,subset only,broader variant-level protein/genomic comparator joins
routing operating frontier,cab_decision_challenge_tasks.csv,26725,CAB-Strict and CAB-Balanced expose false-portability vs overrestriction tradeoff,operating_frontier_support,internal benchmark; no external expert adjudication,blinded expert routing adjudication
temporal counterfactual benchmark,temporal_condition_label_drift,26725,CAB-Strict minimizes unsupported reuse; CAB-Balanced preserves more direct-use capacity,primary_counterfactual_routing_benchmark,"future condition-label drift is temporal endpoint, not clinical outcome",expert adjudicated portability endpoint
conservative composite benchmark,composite routing gold standard,26725,internal operational stress test of routing restrictions,internal_operational_benchmark,not independent external validation,external curation review
ClinGen/VCEP/CSpec constraint status,ClinGen/CSpec/VCEP overlays where available,varies,external constraint/coverage only,constraint_not_validation,variant-level validation blocked unless data joined,variant-level Evidence Repository / expert panel adjudication
expert adjudication pending,not yet available,0,pending,gap,no external expert-validated correctness claim,expert adjudication or real-world curation deployment
SADS/postmortem portability use-case framing,conceptual + external comparator/rationale sources,not applicable,"SADS provides a high-value assertion-portability stress-test across postmortem, family-risk, genotype-first, trigger-dependent, and disease-specific curation contexts.",conceptual_external_rationale_supported,"No cause-of-death inference, no patient-risk prediction, no clinical validation.",expert adjudication of postmortem/family screening cases; longitudinal SADS-specific assertion follow-up; curated genotype-first family datasets.
