claim_id,positive_claim,supporting_new_analysis,key_metric,main_text_use
endpoint_triangulation,"CAB portability signal recurs across temporal, environment-level, identity-meaning, curation-action, and rolling-origin endpoint families.",cab_endpoint_triangulation_matrix,6 endpoint families marked supportive,positive evidence
negative_controls,"CAB exceeds label, regime, endpoint, metadata, and gene-frequency null controls; random-routing controls separate Balanced lift from Strict calibration sensitivity.",cab_falsification_negative_controls; cab_random_routing_null_comparison,32 falsification rows pass,robustness evidence
domain_balance,CAB regime-prediction and operating-frontier signals are not artifacts of hereditary-cancer sample dominance.,cab_domain_balanced_metrics; cab_domain_downsample_stability; cab_leave_one_domain_out_metrics,macro AUROC rows generated=3,robustness evidence
curator_utility,CAB converts portability scoring into finite review-queue utility under curator budget constraints.,cab_curator_review_budget_utility; cab_workload_capture_curves,top10 enrichment=2.302,utility evidence
continuous_frontier,CAB defines a tunable operating frontier whose preferred point depends on workflow-specific costs.,cab_continuous_operating_frontier; cab_cost_sensitive_frontier_recommendations,397 non-dominated threshold points,method engineering evidence
adjudication_ready,"CAB produces true-blind expert-adjudication-ready portability questions, including a five-reviewer SADS/CPVT priority path.",cab_expert_endpoint_run_packet_blinded; cab_expert_endpoint_verdict_template; cab_sads_cpvt_expert_endpoint_priority_cases; cab_expert_endpoint_validation_protocol,400 core cases + 50 SADS/CPVT priority cases,validation-readiness evidence
external_comparator_relevance,"External resources support the biological plausibility and curation relevance of CAB portability distinctions, with comparator tests reported directionally rather than overclaimed.",cab_clingen_vcep_comparator_mapping; emerge_quantitative_proxy_metrics; genotype_first_quantitative_proxy_metrics,VCEP OR=0.486 (not_enriched); eMERGE/genotype-first proxy tables generated,external triangulation evidence
silver_standard_endpoint_hardening,"CAB signal is tested after proxy adjudication separates true environment shift from ontology synonym/parent-child drift and submitter noise.",cab_proxy_adjudication_layer; cab_strict_endpoint_hierarchy_deltas,E4 gene-only to gene+regime delta AUROC=0.0100 (95% CI 0.0076-0.0129),endpoint-validity evidence
baseline_ontology_increment,"CAB adds forecasting signal beyond gene plus baseline-only ontology-like features without using follow-up labels.",cab_baseline_only_ontology_forecasting_comparator; cab_baseline_only_ontology_incremental_cab_deltas,E3 delta AUROC=0.0026; true+uncertain delta AUROC=0.0164,anti-semantic-distance evidence
calibrated_review_queue,"CAB risk ranking is calibrated enough for review-queue triage and concentrates future cross-environment drift into top risk deciles.",cab_calibration_metrics; cab_risk_decile_calibration; cab_auprc_enrichment_review_utility,top10 precision=0.602 for gene+baseline-ontology+CAB on E3,workflow evidence
