claim_tier,claim_id,exact_allowed_wording,supporting_table,supporting_statistic,claim_strength,prohibited_stronger_wording
Tier 1,T1_stable_PL_classification_hides_meaning_drift,Stable P/LP classification can hide future disease-model meaning drift in inherited arrhythmia and cardiomyopathy temporal ClinVar rebuilds.,reports/tables/cab_cross_domain_replication_summary.csv; reports/tables/cardiomyopathy_temporal_endpoint_counts_v2.csv; reports/tables/cab_predictive_operational_audit.csv,arrhythmia condition_label_change_rate≈0.3875; cardiomyopathy condition_label_change_rate=0.3865; cardiomyopathy classification_change=0.0,external_domain_replication,P/LP labels are clinically wrong; CAB predicts pathogenicity; all disease domains show this pattern
Tier 1,T1_baseline_portability_stratifies_future_drift,Baseline portability architecture stratifies future condition-label and cross-environment drift in two cardiovascular assertion domains.,reports/tables/cardiomyopathy_model_comparison_baseline_only.csv; reports/tables/gene_vs_cab_model_comparison.csv; reports/tables/cross_environment_drift_prediction_models.csv,"cardiomyopathy baseline-regime AUROC condition=0.7024, cross-environment=0.7713; inherited arrhythmia gene+CAB improves over gene-only",baseline_only_predictive_support,full prospective validation; CAB beats gene in all settings; old cardiomyopathy AUROC=0.9742 is valid
Tier 1,T1_cardiomyopathy_external_replication,Cardiomyopathy externally replicates the cardiovascular portability principle with domain-specific baseline-only architecture.,reports/tables/cardiomyopathy_publication_safe_claims_v2.csv; reports/tables/cab_cross_domain_replication_summary.csv,"cardiomyopathy N=4,918; condition drift=38.65%; cross-environment drift=9.86%; baseline-regime outperforms gene-only for condition and cross-environment drift",external_domain_replication,general all-disease portability theory; ClinGen variant-level validation; cardiomyopathy v1 leakage model is valid
Tier 1,T1_low_portability_cross_environment_enrichment,"Cross-environment drift is enriched in low-portability states, with domain-specific portability definitions.",reports/tables/transition_network_enrichment_tests.csv; reports/tables/cardiomyopathy_transition_enrichment_tests_baseline_only.csv,"cardiomyopathy low baseline portability OR=10.61, FDR=4.29e-102; arrhythmia low CPI OR≈4.80, FDR≈3.60e-14",baseline_only_predictive_support,individual cardiomyopathy collision/structural/sarcomeric flags are supported; enrichment proves clinical causality
Tier 2,T2_gene_level_decomposition_arrhythmia,"In inherited arrhythmia, CAB decomposes gene-level drift heterogeneity into interpretable disease-model and phenotype-environment components.",reports/tables/mixed_effects_gene_variance_decomposition.csv; reports/tables/gene_vs_cab_model_comparison.csv; reports/tables/cab_gene_archetypes.csv,CAB reduces residual gene variance ~15.84% for condition-label drift and ~13.79% for any meaning drift; gene+CAB improves over gene-only,partial_explanation_of_gene_signal,CAB is independent of gene; gene identity is a nuisance confounder only; CAB fully explains gene signal
Tier 2,T2_alphamissense_not_sufficient,AlphaMissense indicates that protein-level predicted deleteriousness is not sufficient to explain assertion portability in the high-confidence missense subset.,reports/tables/cab_alphamissense_model_comparison.csv; reports/tables/cab_alphamissense_hg38_join_qc.csv,high-confidence AlphaMissense subset N=214; condition drift AlphaMissense-only AUROC=0.6291 vs CAB-only AUROC=0.8242,protein_damage_not_sufficient_explanation,CAB beats AlphaMissense across the full CAB universe; AlphaMissense fails clinically; protein structure is irrelevant
Tier 2,T2_counterfactual_routing_actionability,A rule-adjudicated counterfactual benchmark suggests CAB routing reduces unsupported deterministic reuse of public P/LP assertions.,reports/tables/cab_counterfactual_task_metrics.csv,"unsupported reuse reductions across five assertion-use tasks, e.g. phenotype-first 0.9539→0.1667 and single-disease-model 0.9458→0.0208",operational_routing_support_rule_adjudicated,expert-adjudicated clinical correctness; clinical actionability beyond routing; deployed decision support validation
Tier 3,T3_clingen_constraint_only,"ClinGen/VCEP/CSpec resources constrain part of the cardiomyopathy assertion space at gene-level scope, but no variant-level validation was joined.",reports/tables/cardiomyopathy_clingen_overlay_status_clean.csv; reports/tables/cardiomyopathy_clingen_coverage.csv,"CMP VCEP/CSpec gene-level scope 1,135/4,918 (23.08%); Evidence Repository variant-level joined=0",gene_level_external_constraint_only,VCEP validates assertions; variant-level ClinGen validation; ClinGen confirmed pathogenicity
Tier 3,T3_expert_adjudication_pending,Expert adjudication remains pending; current actionability is a predefined rule-adjudicated benchmark.,reports/tables/cab_counterfactual_task_metrics.csv; reports/final_inspire_readiness_audit_v2.md,counterfactual benchmark present; external expert adjudication not present,expert_adjudication_pending,expert-validated clinical decision support
Tier 3,T3_no_all_disease_generalization,"The current package supports cardiovascular-domain replication, not general all-disease portability theory.",reports/tables/cab_cross_domain_replication_summary.csv,two cardiovascular domains only: inherited arrhythmia and cardiomyopathy,scope_limitation,general all-disease assertion portability theory
