claim_text,supporting_table,supporting_statistic,claim_strength,prohibited_stronger_wording
Portability failures follow recurrent disease-architecture regimes.,reports\tables\disease_architecture_regime_temporal_signatures.csv,regime-specific temporal/routing signatures across mapped assertions,strong,Do not claim regimes are exhaustive or clinically validated.
Phenotype/syndrome-anchored assertions form stable self-loops.,reports\tables\disease_architecture_regime_temporal_signatures.csv,phenotype_anchored self_loop_stable_rate=0.9417989417989417,moderate,Do not claim all phenotype-anchored assertions are portable.
Collision architectures generate boundary crossings.,reports\tables\disease_architecture_regime_support_levels.csv,pleiotropic_collision N=11; underpowered framework category,exploratory,Do not claim robust boundary-crossing enrichment for pleiotropic collision unless N/CI/FDR support exists.
Syndrome-organ boundary is a cancer-specific grammar.,reports\tables\disease_architecture_regime_cross_domain_recurrence.csv,syndrome-organ boundary present but not specifically enriched in hereditary cancer mapping,partial,Do not call this cancer-specific based on current mapping.
Arrhythmia drift concentrates in collision/provocation/postmortem contexts.,reports\tables\domain_specific_portability_grammar_final.csv,domain-specific grammar for inherited_arrhythmia,partial,Do not claim definitive arrhythmia mechanism without expert adjudication.
Cardiomyopathy drift concentrates in composite low-portability/structural-overlap states.,reports\tables\domain_specific_portability_grammar_final.csv,domain-specific grammar for cardiomyopathy; structural_functional_overlap signal,moderate,Do not claim clinical mechanism or outcome validation.
Portability is not explained by protein-level deleteriousness alone.,reports\tables\portability_not_explained_by_metadata_or_protein.csv,AlphaMissense comparator where matched; regime/gene comparators retained,partial,Do not claim AlphaMissense is irrelevant; only non-identical to portability.
Portability is not explained by classification-support metadata alone.,reports\tables\classification_support_vs_portability_quadrants.csv,high_support_low_portability quadrant exists,moderate,Do not claim classification support has no value.
"Pathogenic meaning travels according to disease architecture, not database labels alone.",reports\tables\disease_architecture_regime_temporal_signatures.csv,regime signatures + identity-vs-meaning concordance + routing outcomes,strong,Do not claim universal biological law or clinical validation.
"Trigger-dependent, pleiotropic-collision, and genotype-first absent-phenotype regimes are biologically motivated CAB/PRF categories but were underpowered or absent in the current benchmark.",reports\tables\disease_architecture_regime_support_levels.csv,trigger_dependent_latent N=45; pleiotropic_collision N=11; genotype_first_absent_phenotype N=0,exploratory,Do not state that all proposed regimes were validated.
